epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20264,1.59085,3.66424,1.33355,0.00912,0.84161,0.41814,0.29846,0.79414,3.32936,1.0792,0.000175,0.000175,0.000175
2,5.35358,1.59563,2.54468,1.26075,0.01077,0.90051,0.5209,0.34197,0.96271,3.00457,1.25626,0.000358911,0.000358911,0.000358911
3,7.50913,1.55244,1.93782,1.26507,0.90408,0.16041,0.47632,0.28405,1.04931,2.90485,1.34239,0.00053911,0.00053911,0.00053911
4,9.52074,1.62545,1.97315,1.28909,0.91997,0.31333,0.54272,0.26357,1.14614,2.94409,1.43059,0.000715596,0.000715596,0.000715596
5,11.6357,1.52041,1.80289,1.24063,0.6195,0.29885,0.4858,0.24238,1.22675,2.77732,1.55322,0.00088837,0.00088837,0.00088837
6,13.7183,1.56163,1.73295,1.28199,0.34443,0.45124,0.43513,0.22291,1.52012,2.62751,1.71397,0.00105743,0.00105743,0.00105743
7,15.7765,1.60634,1.78608,1.28354,0.45196,0.35646,0.31188,0.15922,1.47888,2.92411,1.77832,0.00117575,0.00117575,0.00117575
8,17.948,1.57911,1.63958,1.25961,0.41248,0.23437,0.24334,0.12828,1.44912,3.52185,1.77762,0.00116337,0.00116337,0.00116337
9,19.9974,1.50853,1.60226,1.23468,0.42658,0.32716,0.29479,0.15913,1.59416,2.92674,1.75986,0.001151,0.001151,0.001151
10,22.0849,1.50864,1.64088,1.25991,0.5061,0.29104,0.38771,0.1951,1.57484,3.00697,1.78549,0.00113863,0.00113863,0.00113863
11,24.1908,1.49513,1.50016,1.21397,0.44704,0.53,0.46349,0.25817,1.39272,2.60567,1.66571,0.00112625,0.00112625,0.00112625
12,26.2329,1.44157,1.44894,1.22337,0.46637,0.54926,0.41187,0.21508,1.28696,3.54792,1.60631,0.00111388,0.00111388,0.00111388
13,28.2386,1.44808,1.43619,1.20721,0.39443,0.58536,0.40228,0.23487,1.29283,2.69086,1.58863,0.0011015,0.0011015,0.0011015
14,30.3016,1.4641,1.41054,1.21009,0.6096,0.503,0.52903,0.32038,1.30153,2.14894,1.54431,0.00108913,0.00108913,0.00108913
