epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48149,1.56725,3.6845,1.30886,0.0337,0.80757,0.37621,0.2168,0.8971,3.44835,1.12064,0.000175,0.000175,0.000175
2,7.81935,1.57978,3.16737,1.27607,0.016,0.8822,0.46254,0.30078,1.09262,3.42035,1.3588,0.000358911,0.000358911,0.000358911
3,11.3543,1.61634,2.59135,1.2788,0.01402,0.89678,0.42502,0.26443,1.14976,3.08027,1.58361,0.00053911,0.00053911,0.00053911
4,14.6284,1.72186,2.264,1.34865,0.4976,0.08335,0.25609,0.12342,1.52556,3.18723,2.22928,0.000715596,0.000715596,0.000715596
5,17.95,1.61537,1.95648,1.31062,0.31343,0.31683,0.31136,0.14735,1.28134,3.02949,1.84338,0.00088837,0.00088837,0.00088837
6,21.1821,1.64877,1.89474,1.33747,0.2457,0.43732,0.25875,0.09966,1.65869,4.33828,3.2365,0.00105743,0.00105743,0.00105743
7,24.4814,1.66775,1.85761,1.337,0.69024,0.26193,0.43697,0.22549,1.3553,2.7621,1.87806,0.00117575,0.00117575,0.00117575
8,27.7162,1.70058,1.8029,1.36208,0.25788,0.30648,0.22432,0.1124,1.71733,4.02139,2.43962,0.00116337,0.00116337,0.00116337
9,30.921,1.64124,1.70155,1.3113,0.41275,0.35036,0.27355,0.12592,1.82472,3.74489,2.18824,0.001151,0.001151,0.001151
10,34.1137,1.62667,1.77592,1.3502,0.4193,0.42496,0.41271,0.20404,1.48833,2.99798,1.90844,0.00113863,0.00113863,0.00113863
11,37.3617,1.59095,1.62422,1.29102,0.43574,0.36265,0.36893,0.18917,1.53368,3.06542,1.95744,0.00112625,0.00112625,0.00112625
12,40.7724,1.54624,1.56453,1.2914,0.40513,0.52622,0.45324,0.22208,1.51797,3.84898,2.02936,0.00111388,0.00111388,0.00111388
13,44.0146,1.5227,1.52573,1.26996,0.4226,0.56452,0.53512,0.28335,1.47517,3.09073,1.76196,0.0011015,0.0011015,0.0011015
14,47.3866,1.60732,1.58382,1.31148,0.47751,0.53469,0.47055,0.24192,1.54882,3.18992,1.74881,0.00108913,0.00108913,0.00108913
15,50.6553,1.5705,1.52775,1.29294,0.37764,0.47667,0.42043,0.22417,1.41449,2.86528,1.73651,0.00107675,0.00107675,0.00107675
16,53.9398,1.49787,1.52034,1.26654,0.4529,0.50767,0.49083,0.25945,1.43738,1.96588,1.76937,0.00106437,0.00106437,0.00106437
17,57.104,1.54312,1.55105,1.29617,0.33579,0.3981,0.36705,0.19248,1.76315,2.83985,1.87656,0.001052,0.001052,0.001052
18,60.3963,1.50808,1.42884,1.2723,0.53763,0.46763,0.43095,0.22581,1.52689,3.07879,1.92525,0.00103962,0.00103962,0.00103962
19,63.6213,1.51093,1.46348,1.27056,0.45648,0.49282,0.43194,0.22991,1.62225,1.89791,1.88764,0.00102725,0.00102725,0.00102725
20,66.9553,1.4134,1.40161,1.25193,0.57352,0.61868,0.56122,0.28773,1.4336,1.86105,1.6257,0.00101488,0.00101488,0.00101488
21,70.2357,1.41828,1.33343,1.21849,0.47303,0.5549,0.48476,0.27444,1.40309,1.99965,1.6504,0.0010025,0.0010025,0.0010025
22,73.5502,1.45329,1.3977,1.25634,0.48383,0.52017,0.50099,0.26999,1.50746,2.02782,1.77785,0.000990125,0.000990125,0.000990125
23,76.7881,1.3609,1.36859,1.23751,0.62118,0.5064,0.50761,0.28439,1.41061,3.37176,1.61066,0.00097775,0.00097775,0.00097775
24,80.0778,1.39617,1.24417,1.18773,0.42811,0.38817,0.42476,0.23297,1.55054,2.49804,1.75526,0.000965375,0.000965375,0.000965375
25,83.2667,1.4563,1.36733,1.234,0.53595,0.52223,0.48295,0.25461,1.39089,2.20046,1.59797,0.000953,0.000953,0.000953
26,86.5844,1.39599,1.22939,1.18498,0.54726,0.55954,0.54231,0.29857,1.25061,1.77357,1.45579,0.000940625,0.000940625,0.000940625
27,89.792,1.42116,1.35552,1.26098,0.47069,0.51512,0.45467,0.24724,1.34942,1.8671,1.58193,0.00092825,0.00092825,0.00092825
28,93.2198,1.35226,1.12776,1.16924,0.43433,0.51541,0.49642,0.24782,1.38851,1.81282,1.62684,0.000915875,0.000915875,0.000915875
29,96.5864,1.40571,1.20255,1.18219,0.48427,0.53559,0.50248,0.27962,1.3526,1.48803,1.57171,0.0009035,0.0009035,0.0009035
30,99.7968,1.33094,1.20567,1.18501,0.46411,0.59663,0.5321,0.29196,1.41087,1.6363,1.55648,0.000891125,0.000891125,0.000891125
31,103.004,1.34599,1.15417,1.15323,0.6078,0.64059,0.58441,0.32628,1.37722,1.49428,1.50083,0.00087875,0.00087875,0.00087875
