epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,349.801,2.21638,2.04492,1.28782,0.22804,0.09626,0.01658,0.00771,0.75582,361.132,0.46003,0.009703,0.009703,0.009703
5,434.855,2.07292,1.87768,1.22437,0.24393,0.11278,0.02069,0.00976,0.70759,357.159,0.44007,0.009604,0.009604,0.009604
6,521.197,2.01294,1.78576,1.19499,0.13837,0.1221,0.02145,0.01023,0.6886,465.768,0.43284,0.009505,0.009505,0.009505
7,613.248,1.93525,1.7001,1.16893,0.05058,0.14091,0.02569,0.01241,0.68494,354.846,0.42801,0.009406,0.009406,0.009406
8,702.245,1.89053,1.64605,1.15457,0.15187,0.14742,0.02671,0.01322,0.65584,441.651,0.42153,0.009307,0.009307,0.009307
9,792.125,1.84503,1.58821,1.14185,0.15787,0.15758,0.02831,0.01377,0.6502,489.756,0.41585,0.009208,0.009208,0.009208
10,880.254,1.80311,1.53982,1.12429,0.15561,0.15878,0.02789,0.01385,0.63806,502.765,0.41327,0.009109,0.009109,0.009109
11,965.929,1.783,1.51108,1.11395,0.15748,0.15193,0.02742,0.01381,0.63635,423.671,0.41006,0.00901,0.00901,0.00901
12,1051.29,1.7684,1.4889,1.10902,0.16238,0.1659,0.03083,0.01568,0.61724,415.52,0.40725,0.008911,0.008911,0.008911
13,1136.6,1.74898,1.4649,1.10115,0.06029,0.18202,0.03173,0.01601,0.61101,500.276,0.40392,0.008812,0.008812,0.008812
14,1222.3,1.71263,1.42961,1.09284,0.16309,0.16898,0.0329,0.01661,0.60124,509.134,0.40031,0.008713,0.008713,0.008713
15,1311.72,1.71708,1.42128,1.08804,0.06243,0.17784,0.03485,0.01822,0.59771,521.244,0.39932,0.008614,0.008614,0.008614
16,1402.31,1.69278,1.39478,1.08559,0.16656,0.17726,0.03496,0.01801,0.59806,495.647,0.39891,0.008515,0.008515,0.008515
17,1492.19,1.68066,1.38748,1.08036,0.1672,0.17496,0.03461,0.01781,0.59339,488.757,0.39769,0.008416,0.008416,0.008416
18,1581.66,1.66485,1.35962,1.07354,0.16679,0.18852,0.03565,0.01851,0.5884,557.953,0.39522,0.008317,0.008317,0.008317
19,1671.97,1.65626,1.35417,1.07295,0.1665,0.1801,0.03591,0.01835,0.58873,580.84,0.39519,0.008218,0.008218,0.008218
20,1761.95,1.64487,1.34238,1.06696,0.16499,0.18593,0.03645,0.01893,0.58726,535.583,0.39462,0.008119,0.008119,0.008119
21,1849.45,1.64583,1.33362,1.0666,0.06918,0.196,0.03791,0.01972,0.57826,523.513,0.39223,0.00802,0.00802,0.00802
22,1934.82,1.62819,1.30631,1.06176,0.07277,0.20126,0.03752,0.01959,0.57471,540.507,0.39064,0.007921,0.007921,0.007921
23,2019.49,1.61725,1.3048,1.06169,0.17313,0.20023,0.03772,0.01962,0.573,525.472,0.39057,0.007822,0.007822,0.007822
24,2103.93,1.61622,1.30079,1.05835,0.07248,0.19626,0.03824,0.01974,0.56738,532.205,0.38864,0.007723,0.007723,0.007723
25,2192.45,1.59788,1.28142,1.05615,0.07694,0.20348,0.0379,0.01937,0.5752,514.435,0.39157,0.007624,0.007624,0.007624
