epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4519,4.45128,4.50311,3.14522,0.20487,0.01289,0.00209,0.00064,1.24769,139.126,0.72361,0.00332921,0.00332921,0.00332921
2,182.816,2.88001,2.62717,1.63872,0.51684,0.02761,0.01076,0.00465,0.92818,181.539,0.5241,0.00659659,0.00659659,0.00659659
3,276.438,2.41535,2.21501,1.38317,0.22627,0.08662,0.01476,0.00673,0.81001,427.643,0.47897,0.00979796,0.00979796,0.00979796
4,365.854,2.20043,2.01402,1.28023,0.23541,0.09221,0.01746,0.00805,0.7553,336.598,0.45677,0.009703,0.009703,0.009703
5,454.471,2.05486,1.8569,1.21668,0.13999,0.11283,0.02035,0.0098,0.70175,378.285,0.43917,0.009604,0.009604,0.009604
6,545.792,1.98792,1.76812,1.1844,0.14242,0.11453,0.02225,0.01088,0.6788,538.321,0.42797,0.009505,0.009505,0.009505
7,635.081,1.91283,1.68666,1.1607,0.14594,0.12869,0.02499,0.01225,0.66963,371.114,0.42411,0.009406,0.009406,0.009406
8,723.281,1.86666,1.63465,1.14622,0.14757,0.14749,0.02621,0.01279,0.65474,461.772,0.41853,0.009307,0.009307,0.009307
9,812.165,1.81925,1.5743,1.13211,0.06096,0.1509,0.02856,0.01382,0.65107,418.369,0.41266,0.009208,0.009208,0.009208
10,901.257,1.78062,1.52875,1.11697,0.05551,0.16102,0.02852,0.01456,0.62785,514.925,0.40957,0.009109,0.009109,0.009109
11,990.282,1.76478,1.49994,1.10626,0.05477,0.15135,0.02847,0.01423,0.62781,476.3,0.40772,0.00901,0.00901,0.00901
12,1079.54,1.74721,1.47943,1.10276,0.15712,0.1594,0.02947,0.01504,0.61718,462.634,0.40593,0.008911,0.008911,0.008911
13,1168.3,1.73035,1.45484,1.09504,0.05641,0.17866,0.02924,0.01492,0.61152,451.857,0.40518,0.008812,0.008812,0.008812
14,1259.52,1.69513,1.41894,1.08693,0.16529,0.17564,0.03305,0.01679,0.60387,467.434,0.40016,0.008713,0.008713,0.008713
